,Country,Year,Carbon Emissions,Education Expenditure,Foreign Direct Investment (FDI) Inflows,GDP,Health Expenditure,Inflation Rate,Internet Penetration,Life Expectancy,Renewable Energy Production,Unemployment Rate
0,AUS,2000,339446.6,4.88731002807617,14892978180.1828,415851284305.721,7.59961653,4.45743514797225,46.75611561,79.2341463414634,8.42,6.28
1,AUS,2001,345645.0,4.88955202102661,10717133150.6924,379358162498.658,7.68272257,4.4071353620147,52.68926643,79.6341463414634,8.37,6.74
2,AUS,2002,353371.3,4.89179401397705,14656321800.5386,395580786940.142,7.87807608,2.98157453936349,55.2669498225,79.9365853658537,8.74,6.37
3,AUS,2003,352581.1,4.89403600692749,8985246029.5004,467497961560.862,7.88292599,2.73259596616783,57.844633215,80.2390243902439,7.15,5.93
4,AUS,2004,365808.0,4.89627799987793,42907672820.3756,614326362213.686,8.09003353,2.34325522482587,60.4223166075,80.490243902439,6.68,5.39
5,AUS,2005,370090.6,4.89851999282837,-25093141435.1896,695328522026.763,7.97402954,2.69183168316831,63.0,80.8414634146341,6.71,5.03
6,AUS,2006,375489.1,4.74065017700195,30551100656.5983,747906558849.955,7.98143196,3.55528773727028,66.0,81.0414634146342,6.85,4.78
7,AUS,2007,385746.1,4.65621995925903,44440090037.7723,854427259166.209,8.05890179,2.32761128891476,69.45,81.2926829268293,6.95,4.38
8,AUS,2008,388935.6,4.63278007507324,45160024270.9395,1055642793196.06,8.25374031,4.35029854990047,71.67,81.3951219512195,6.79,4.23
9,AUS,2009,395289.3,5.08451986312866,28683266147.8801,928626859078.192,8.55233955,1.77111716621252,74.25,81.5439024390244,7.15,5.56
10,AUS,2010,387536.3,5.54303979873657,35210733743.0829,1148610059015.24,8.42325497,2.91834002677376,76.0,81.6951219512195,8.16,5.21
11,AUS,2011,386375.3,5.06995010375977,65554890649.5348,1398405797101.45,8.53956795,3.30385015608744,79.48769771,81.8951219512195,8.32,5.08
12,AUS,2012,386965.7,4.86787986755371,57550426822.6138,1546892142709.84,8.67481709,1.76278015613193,79.0,82.0463414634146,8.29,5.22
13,AUS,2013,380278.3,5.22923994064331,54465480054.6771,1576380424746.08,8.75082779,2.44988864142539,83.45349717,82.1487804878049,9.21,5.66
14,AUS,2014,371633.6,5.1646900177002,63202728079.4529,1467545212521.8,9.84760189,2.48792270531403,84.0,82.3,9.32,6.08
15,AUS,2015,377795.2,5.31583976745605,46892808567.8516,1350615691821.28,10.18361282,1.50836672165921,84.56051491,82.4,9.31,6.05
16,AUS,2016,384991.7,5.28623008728027,42969505135.1666,1206535157956.03,10.09023094,1.27699094497328,86.54,82.4487804878049,9.42,5.71
17,AUS,2017,389163.3,5.13680982589722,48198614234.959,1326516328531.56,10.1257143,1.94864740944522,86.54504885,82.5,9.69,5.59
18,AUS,2018,387066.7,5.12344980239868,60685908478.4727,1428288504767.07,10.07391548,1.91140094445692,90.0,82.7487804878049,9.67,5.3
19,AUS,2019,386526.6,5.13531017303467,38959497519.9391,1392227864397.08,10.22989082,1.61076787290379,93.60991916,82.9,10.13,5.16
20,AUS,2020,386526.6,6.09999990463257,15307363569.8504,1326901059123.21,10.6489954,0.846905537459293,96.39446689,83.2,10.13,6.46
21,AUS,2021,386526.6,6.09999990463257,24789073110.7841,1552667363236.06,10.6489954,2.86391042204995,96.24,83.3,10.13,5.12
22,AUT,2000,63532.3,5.58880996704102,8501013451.2622,197289625479.906,9.20371342,2.34486285357277,33.73013295,78.1268292682927,26.44,4.69
23,AUT,2001,67911.3,5.57547998428345,5689434546.447,197508773215.323,9.26942921,2.65000077279529,39.18545018,78.5756097560976,25.53,4.01
24,AUT,2002,69367.9,5.52213001251221,138346430.7562,214394866675.24,9.3947649,1.81035787764132,36.56,78.6780487804878,24.68,4.85
25,AUT,2003,74461.6,5.36183023452759,6195021861.4636,262273631180.054,9.5472393,1.35555370896445,42.7,78.6317073170732,22.56,4.78
26,AUT,2004,75795.8,5.30243015289307,3183649649.5378,301457562038.541,9.70939922,2.06120618032866,54.28,79.1804878048781,23.17,5.83
27,AUT,2005,76236.6,5.24937009811401,81096089418.116,316092273276.015,9.62702942,2.29913785639285,58.0,79.3317073170732,24.41,5.63
28,AUT,2006,74099.3,5.22652006149292,10500457158.3387,336280064332.411,9.5311327,1.44154851119019,63.6,79.8804878048781,26.64,5.24
29,AUT,2007,71242.5,5.14690017700195,68865787583.4395,389185571506.052,9.53209686,2.16855528800755,69.37,80.1804878048781,28.99,4.86
30,AUT,2008,70729.7,5.26395988464355,6301143681.98324,432051935642.945,9.72564602,3.21595033239883,72.87,80.4317073170732,29.68,4.13
31,AUT,2009,64416.3,5.73024988174438,14300064389.0077,401758735822.211,10.22582531,0.506308827696486,73.45,80.3317073170732,31.31,5.3
32,AUT,2010,69960.0,5.70047998428345,-22007325156.2772,392275107258.667,10.22101879,1.81353438995065,75.17,80.5804878048781,31.15,4.82
33,AUT,2011,68271.5,5.59226989746094,22983942931.9265,431685217367.511,10.02613258,3.28657914875376,78.7399931,80.9829268292683,31.64,4.56
34,AUT,2012,65107.1,5.48040008544922,5218620112.78237,409401816050.531,10.19915581,2.48567562177017,80.02999392,80.9365853658537,34.38,4.87
35,AUT,2013,65747.0,5.54711008071899,451107665.231021,430190979705.962,10.28574848,2.00015616900603,80.6188,81.1365853658537,34.59,5.34
36,AUT,2014,62048.9,5.44761991500854,1712175273.93107,442584815286.034,10.36809158,1.60581182954471,80.99582496,81.490243902439,35.67,5.62
37,AUT,2015,63238.3,5.45658016204834,-7975773543.92081,381971148530.543,10.36746693,0.896563335260302,83.94014193,81.190243902439,34.82,5.72
38,AUT,2016,63684.5,5.4796199798584,-28939340169.025,395837353031.499,10.3522625,0.891591752655335,84.32374257,81.6414634146342,34.64,6.01
39,AUT,2017,65856.3,5.37159013748169,13518864836.2849,417261151844.977,10.38402557,2.08126911385587,87.93558659,81.6439024390244,33.98,5.5
40,AUT,2018,63061.9,5.22452020645142,-28605757320.128,454991174096.102,10.34483242,1.99837981429546,87.47913723,81.6926829268293,34.11,4.85
41,AUT,2019,64766.3,5.21291017532349,-12394032432.5489,444621176100.548,10.47507858,1.53089564152645,87.75220479,81.8951219512195,33.77,4.49
42,AUT,2020,64766.3,5.07000017166138,-11666737766.2068,435225238000.437,11.47426033,1.38191063351859,87.52942813,81.1926829268293,33.77,5.36
