country,year,feature,value
AFG,2010,hdi,0.448
AFG,2011,hdi,0.456
AFG,2012,hdi,0.466
AFG,2013,hdi,0.474
AFG,2014,hdi,0.479
AFG,2015,hdi,0.478
AFG,2016,hdi,0.481
AFG,2017,hdi,0.482
AFG,2018,hdi,0.483
AFG,2019,hdi,0.488
AFG,2010,hdi,0.448
AFG,2011,hdi,0.456
AFG,2012,hdi,0.466
AFG,2013,hdi,0.474
AFG,2014,hdi,0.479
AFG,2015,hdi,0.478
AFG,2016,hdi,0.481
AFG,2017,hdi,0.482
AFG,2018,hdi,0.483
AFG,2019,hdi,0.488
AFG,2020,hdi,0.483
AGO,2010,hdi,0.51
AGO,2011,hdi,0.526
AGO,2012,hdi,0.541
AGO,2013,hdi,0.552
AGO,2014,hdi,0.563
AGO,2015,hdi,0.582
AGO,2016,hdi,0.596
AGO,2017,hdi,0.597
AGO,2018,hdi,0.595
AGO,2019,hdi,0.595
AGO,2010,hdi,0.51
AGO,2011,hdi,0.526
AGO,2012,hdi,0.541
AGO,2013,hdi,0.552
AGO,2014,hdi,0.563
AGO,2015,hdi,0.582
AGO,2016,hdi,0.596
AGO,2017,hdi,0.597
AGO,2018,hdi,0.595
AGO,2019,hdi,0.595
AGO,2020,hdi,0.59
ALB,2010,hdi,0.754
ALB,2011,hdi,0.766
ALB,2012,hdi,0.778
ALB,2013,hdi,0.785
ALB,2014,hdi,0.792
ALB,2015,hdi,0.795
ALB,2016,hdi,0.798
ALB,2017,hdi,0.802
ALB,2018,hdi,0.806
ALB,2019,hdi,0.81
ALB,2010,hdi,0.754
ALB,2011,hdi,0.766
ALB,2012,hdi,0.778
ALB,2013,hdi,0.785
ALB,2014,hdi,0.792
ALB,2015,hdi,0.795
ALB,2016,hdi,0.798
ALB,2017,hdi,0.802
ALB,2018,hdi,0.806
ALB,2019,hdi,0.81
ALB,2020,hdi,0.794
AND,2010,hdi,0.848
AND,2011,hdi,0.849
AND,2012,hdi,0.869
AND,2013,hdi,0.864
AND,2014,hdi,0.871
AND,2015,hdi,0.867
AND,2016,hdi,0.871
AND,2017,hdi,0.868
AND,2018,hdi,0.872
AND,2019,hdi,0.873
AND,2010,hdi,0.848
AND,2011,hdi,0.849
AND,2012,hdi,0.869
AND,2013,hdi,0.864
AND,2014,hdi,0.871
AND,2015,hdi,0.867
AND,2016,hdi,0.871
AND,2017,hdi,0.868
AND,2018,hdi,0.872
AND,2019,hdi,0.873
AND,2020,hdi,0.848
ARE,2010,hdi,0.835
ARE,2011,hdi,0.84
ARE,2012,hdi,0.846
ARE,2013,hdi,0.852
ARE,2014,hdi,0.859
ARE,2015,hdi,0.865
ARE,2016,hdi,0.87
ARE,2017,hdi,0.897
ARE,2018,hdi,0.909
ARE,2019,hdi,0.92
ARE,2010,hdi,0.835
ARE,2011,hdi,0.84
ARE,2012,hdi,0.846
ARE,2013,hdi,0.852
ARE,2014,hdi,0.859
ARE,2015,hdi,0.865
ARE,2016,hdi,0.87
ARE,2017,hdi,0.897
ARE,2018,hdi,0.909
ARE,2019,hdi,0.92
ARE,2020,hdi,0.912
ARG,2010,hdi,0.834
ARG,2011,hdi,0.841
ARG,2012,hdi,0.843
ARG,2013,hdi,0.845
ARG,2014,hdi,0.846
ARG,2015,hdi,0.848
ARG,2016,hdi,0.847
ARG,2017,hdi,0.851
ARG,2018,hdi,0.85
ARG,2019,hdi,0.852
ARG,2010,hdi,0.834
ARG,2011,hdi,0.841
ARG,2012,hdi,0.843
ARG,2013,hdi,0.845
ARG,2014,hdi,0.846
ARG,2015,hdi,0.848
ARG,2016,hdi,0.847
ARG,2017,hdi,0.851
ARG,2018,hdi,0.85
ARG,2019,hdi,0.852
ARG,2020,hdi,0.84
ARM,2010,hdi,0.746
ARM,2011,hdi,0.75
ARM,2012,hdi,0.755
ARM,2013,hdi,0.76
ARM,2014,hdi,0.764
ARM,2015,hdi,0.766
ARM,2016,hdi,0.765
ARM,2017,hdi,0.768
ARM,2018,hdi,0.771
ARM,2019,hdi,0.778
ARM,2010,hdi,0.746
ARM,2011,hdi,0.75
ARM,2012,hdi,0.755
ARM,2013,hdi,0.76
ARM,2014,hdi,0.764
ARM,2015,hdi,0.766
ARM,2016,hdi,0.765
ARM,2017,hdi,0.768
ARM,2018,hdi,0.771
ARM,2019,hdi,0.778
ARM,2020,hdi,0.757
ATG,2010,hdi,0.79
ATG,2011,hdi,0.783
ATG,2012,hdi,0.787
ATG,2013,hdi,0.787
ATG,2014,hdi,0.789
ATG,2015,hdi,0.791
ATG,2016,hdi,0.794
ATG,2017,hdi,0.795
ATG,2018,hdi,0.798
ATG,2019,hdi,0.8
ATG,2010,hdi,0.79
ATG,2011,hdi,0.783
ATG,2012,hdi,0.787
ATG,2013,hdi,0.787
ATG,2014,hdi,0.789
ATG,2015,hdi,0.791
ATG,2016,hdi,0.794
ATG,2017,hdi,0.795
ATG,2018,hdi,0.798
ATG,2019,hdi,0.8
ATG,2020,hdi,0.788
AUS,2010,hdi,0.923
AUS,2011,hdi,0.926
AUS,2012,hdi,0.93
AUS,2013,hdi,0.929
AUS,2014,hdi,0.931
AUS,2015,hdi,0.933
AUS,2016,hdi,0.935
AUS,2017,hdi,0.937
AUS,2018,hdi,0.941
AUS,2019,hdi,0.941
AUS,2010,hdi,0.923
AUS,2011,hdi,0.926
AUS,2012,hdi,0.93
AUS,2013,hdi,0.929
AUS,2014,hdi,0.931
AUS,2015,hdi,0.933
AUS,2016,hdi,0.935
AUS,2017,hdi,0.937
AUS,2018,hdi,0.941
AUS,2019,hdi,0.941
AUS,2020,hdi,0.947
AUT,2010,hdi,0.902
AUT,2011,hdi,0.905
AUT,2012,hdi,0.906
AUT,2013,hdi,0.905
AUT,2014,hdi,0.909
AUT,2015,hdi,0.91
AUT,2016,hdi,0.915
AUT,2017,hdi,0.916
AUT,2018,hdi,0.917
AUT,2019,hdi,0.919
AUT,2010,hdi,0.902
AUT,2011,hdi,0.905
AUT,2012,hdi,0.906
AUT,2013,hdi,0.905
AUT,2014,hdi,0.909
AUT,2015,hdi,0.91
AUT,2016,hdi,0.915
AUT,2017,hdi,0.916
AUT,2018,hdi,0.917
AUT,2019,hdi,0.919
AUT,2020,hdi,0.913
AZE,2010,hdi,0.727
AZE,2011,hdi,0.729
AZE,2012,hdi,0.734
AZE,2013,hdi,0.741
AZE,2014,hdi,0.745
AZE,2015,hdi,0.748
AZE,2016,hdi,0.75
AZE,2017,hdi,0.753
AZE,2018,hdi,0.757
AZE,2019,hdi,0.761
AZE,2010,hdi,0.727
AZE,2011,hdi,0.729
AZE,2012,hdi,0.734
AZE,2013,hdi,0.741
AZE,2014,hdi,0.745
AZE,2015,hdi,0.748
AZE,2016,hdi,0.75
AZE,2017,hdi,0.753
AZE,2018,hdi,0.757
AZE,2019,hdi,0.761
AZE,2020,hdi,0.73
BDI,2010,hdi,0.405
BDI,2011,hdi,0.41
BDI,2012,hdi,0.416
BDI,2013,hdi,0.421
BDI,2014,hdi,0.426
BDI,2015,hdi,0.428
BDI,2016,hdi,0.43
BDI,2017,hdi,0.428
BDI,2018,hdi,0.428
BDI,2019,hdi,0.431
BDI,2010,hdi,0.405
BDI,2011,hdi,0.41
BDI,2012,hdi,0.416
BDI,2013,hdi,0.421
BDI,2014,hdi,0.426
BDI,2015,hdi,0.428
BDI,2016,hdi,0.43
BDI,2017,hdi,0.428
BDI,2018,hdi,0.428
BDI,2019,hdi,0.431
BDI,2020,hdi,0.426
BEL,2010,hdi,0.912
BEL,2011,hdi,0.914
BEL,2012,hdi,0.915
BEL,2013,hdi,0.916
BEL,2014,hdi,0.921
BEL,2015,hdi,0.924
BEL,2016,hdi,0.927
BEL,2017,hdi,0.931
BEL,2018,hdi,0.933
BEL,2019,hdi,0.936
BEL,2010,hdi,0.912
BEL,2011,hdi,0.914
BEL,2012,hdi,0.915
BEL,2013,hdi,0.916
BEL,2014,hdi,0.921
BEL,2015,hdi,0.924
BEL,2016,hdi,0.927
BEL,2017,hdi,0.931
BEL,2018,hdi,0.933
BEL,2019,hdi,0.936
BEL,2020,hdi,0.928
BEN,2010,hdi,0.492
BEN,2011,hdi,0.499
BEN,2012,hdi,0.509
BEN,2013,hdi,0.52
BEN,2014,hdi,0.524
BEN,2015,hdi,0.529
BEN,2016,hdi,0.53
BEN,2017,hdi,0.53
BEN,2018,hdi,0.53
BEN,2019,hdi,0.53
BEN,2010,hdi,0.492
BEN,2011,hdi,0.499
BEN,2012,hdi,0.509
BEN,2013,hdi,0.52
BEN,2014,hdi,0.524
BEN,2015,hdi,0.529
BEN,2016,hdi,0.53
BEN,2017,hdi,0.53
BEN,2018,hdi,0.53
BEN,2019,hdi,0.53
BEN,2020,hdi,0.524
BFA,2010,hdi,0.372
BFA,2011,hdi,0.384
BFA,2012,hdi,0.395
BFA,2013,hdi,0.402
BFA,2014,hdi,0.408
BFA,2015,hdi,0.418
BFA,2016,hdi,0.427
BFA,2017,hdi,0.438
BFA,2018,hdi,0.449
BFA,2019,hdi,0.452
BFA,2010,hdi,0.372
BFA,2011,hdi,0.384
BFA,2012,hdi,0.395
BFA,2013,hdi,0.402
BFA,2014,hdi,0.408
BFA,2015,hdi,0.418
BFA,2016,hdi,0.427
BFA,2017,hdi,0.438
BFA,2018,hdi,0.449
BFA,2019,hdi,0.452
BFA,2020,hdi,0.449
BGD,2010,hdi,0.553
BGD,2011,hdi,0.561
BGD,2012,hdi,0.572
BGD,2013,hdi,0.574
BGD,2014,hdi,0.583
BGD,2015,hdi,0.602
BGD,2016,hdi,0.612
BGD,2017,hdi,0.622
BGD,2018,hdi,0.635
BGD,2019,hdi,0.644
BGD,2010,hdi,0.553
BGD,2011,hdi,0.561
BGD,2012,hdi,0.572
BGD,2013,hdi,0.574
BGD,2014,hdi,0.583
BGD,2015,hdi,0.602
BGD,2016,hdi,0.612
BGD,2017,hdi,0.622
BGD,2018,hdi,0.635
BGD,2019,hdi,0.644
BGD,2020,hdi,0.655
BGR,2010,hdi,0.79
BGR,2011,hdi,0.794
BGR,2012,hdi,0.798
BGR,2013,hdi,0.805
BGR,2014,hdi,0.807
BGR,2015,hdi,0.809
BGR,2016,hdi,0.809
BGR,2017,hdi,0.808
BGR,2018,hdi,0.809
BGR,2019,hdi,0.81
BGR,2010,hdi,0.79
BGR,2011,hdi,0.794
BGR,2012,hdi,0.798
BGR,2013,hdi,0.805
BGR,2014,hdi,0.807
BGR,2015,hdi,0.809
BGR,2016,hdi,0.809
BGR,2017,hdi,0.808
BGR,2018,hdi,0.809
BGR,2019,hdi,0.81
BGR,2020,hdi,0.802
BHR,2010,hdi,0.808
BHR,2011,hdi,0.809
BHR,2012,hdi,0.817
BHR,2013,hdi,0.824
BHR,2014,hdi,0.83
BHR,2015,hdi,0.858
BHR,2016,hdi,0.865
BHR,2017,hdi,0.869
BHR,2018,hdi,0.879
BHR,2019,hdi,0.882
BHR,2010,hdi,0.808
BHR,2011,hdi,0.809
BHR,2012,hdi,0.817
BHR,2013,hdi,0.824
BHR,2014,hdi,0.83
BHR,2015,hdi,0.858
BHR,2016,hdi,0.865
BHR,2017,hdi,0.869
BHR,2018,hdi,0.879
BHR,2019,hdi,0.882
BHR,2020,hdi,0.877
BHS,2010,hdi,0.812
BHS,2011,hdi,0.812
BHS,2012,hdi,0.815
BHS,2013,hdi,0.816
BHS,2014,hdi,0.82
BHS,2015,hdi,0.82
