,CO2,COU,Year,Value
0,GBR,BEL,2000,152.0
1,GBR,BEL,2001,274.0
2,GBR,BEL,2002,201.0
3,GBR,BEL,2003,126.0
4,GBR,BEL,2004,128.0
5,GBR,BEL,2005,106.0
6,GBR,BEL,2006,141.0
7,GBR,BEL,2007,114.0
8,GBR,BEL,2008,104.0
9,GBR,BEL,2009,143.0
10,GBR,BEL,2010,111.0
11,GBR,BEL,2011,114.0
12,GBR,BEL,2012,99.0
13,GBR,BEL,2013,141.0
14,GBR,BEL,2014,110.0
15,GBR,BEL,2015,127.0
16,GBR,BEL,2016,506.0
17,GBR,BEL,2017,1381.0
18,GBR,BEL,2018,1045.0
19,GBR,BEL,2019,1630.0
20,GBR,BEL,2020,868.0
21,GBR,GRC,2000,9.0
22,GBR,GRC,2001,9.0
23,GBR,GRC,2002,9.0
24,GBR,GRC,2003,9.0
25,GBR,GRC,2004,9.0
26,GBR,GRC,2005,9.0
27,GBR,GRC,2006,9.0
28,GBR,GRC,2007,9.0
29,GBR,GRC,2008,15.0
30,GBR,GRC,2009,17.0
31,GBR,GRC,2010,47.0
32,GBR,GRC,2011,15.0
33,GBR,GRC,2012,29.0
34,GBR,GRC,2013,41.0
35,GBR,GRC,2014,43.0
36,GBR,GRC,2015,43.0
37,GBR,GRC,2016,31.0
38,GBR,GRC,2017,58.0
39,GBR,GRC,2018,52.0
40,GBR,GRC,2019,30.0
41,GBR,GRC,2020,118.0
42,GBR,CHE,2000,339.0
43,GBR,CHE,2001,310.0
44,GBR,CHE,2002,350.0
45,GBR,CHE,2003,306.0
46,GBR,CHE,2004,289.0
47,GBR,CHE,2005,287.0
48,GBR,CHE,2006,323.0
49,GBR,CHE,2007,353.0
50,GBR,CHE,2008,319.0
51,GBR,CHE,2009,365.0
52,GBR,CHE,2010,298.0
53,GBR,CHE,2011,351.0
54,GBR,CHE,2012,396.0
55,GBR,CHE,2013,328.0
56,GBR,CHE,2014,449.0
57,GBR,CHE,2015,617.0
58,GBR,CHE,2016,665.0
59,GBR,CHE,2017,883.0
60,GBR,CHE,2018,1006.0
61,GBR,CHE,2019,844.0
62,GBR,CHE,2020,727.0
63,GBR,SVN,2000,2.0
64,GBR,SVN,2001,2.0
65,GBR,SVN,2002,2.0
66,GBR,SVN,2003,2.0
67,GBR,SVN,2004,2.0
68,GBR,SVN,2005,2.0
69,GBR,SVN,2006,2.0
70,GBR,SVN,2007,2.0
71,GBR,SVN,2008,0.0
72,GBR,SVN,2009,0.0
73,GBR,SVN,2010,0.0
74,GBR,SVN,2011,0.0
75,GBR,SVN,2012,1.0
76,GBR,SVN,2013,0.0
77,GBR,SVN,2014,0.0
78,GBR,SVN,2015,0.0
79,GBR,SVN,2016,0.0
80,GBR,SVN,2017,2.0
81,GBR,SVN,2018,1.0
82,GBR,SVN,2019,5.0
83,GBR,SVN,2020,4.0
84,GBR,ITA,2000,0.0
85,GBR,ITA,2001,0.0
86,GBR,ITA,2002,0.0
87,GBR,ITA,2003,0.0
88,GBR,ITA,2004,0.0
89,GBR,ITA,2005,0.0
90,GBR,ITA,2006,0.0
91,GBR,ITA,2007,0.0
92,GBR,ITA,2008,95.0
93,GBR,ITA,2009,74.0
94,GBR,ITA,2010,93.0
95,GBR,ITA,2011,82.0
96,GBR,ITA,2012,63.0
97,GBR,ITA,2013,66.0
98,GBR,ITA,2014,75.0
99,GBR,ITA,2015,76.0
100,GBR,ITA,2016,119.0
101,GBR,ITA,2017,128.0
102,GBR,ITA,2018,231.0
103,GBR,ITA,2019,394.0
104,GBR,ITA,2020,338.0
105,GBR,MEX,2000,13.0
106,GBR,MEX,2001,13.0
107,GBR,MEX,2002,13.0
108,GBR,MEX,2003,0.0
109,GBR,MEX,2004,33.0
110,GBR,MEX,2005,32.0
111,GBR,MEX,2006,23.0
112,GBR,MEX,2007,26.0
113,GBR,MEX,2008,30.0
114,GBR,MEX,2009,30.0
115,GBR,MEX,2010,18.0
116,GBR,MEX,2011,11.0
117,GBR,MEX,2012,16.0
118,GBR,MEX,2013,12.0
119,GBR,MEX,2014,14.0
120,GBR,MEX,2015,17.0
121,GBR,MEX,2016,11.0
122,GBR,MEX,2017,14.0
123,GBR,MEX,2018,12.0
124,GBR,MEX,2019,11.0
125,GBR,MEX,2020,11.0
126,GBR,DEU,2000,299.0
127,GBR,DEU,2001,310.0
128,GBR,DEU,2002,258.0
129,GBR,DEU,2003,224.0
130,GBR,DEU,2004,263.0
131,GBR,DEU,2005,310.0
132,GBR,DEU,2006,264.0
133,GBR,DEU,2007,211.0
134,GBR,DEU,2008,232.0
135,GBR,DEU,2009,260.0
136,GBR,DEU,2010,256.0
137,GBR,DEU,2011,284.0
138,GBR,DEU,2012,325.0
139,GBR,DEU,2013,460.0
140,GBR,DEU,2014,515.0
141,GBR,DEU,2015,622.0
142,GBR,DEU,2016,2865.0
143,GBR,DEU,2017,7493.0
144,GBR,DEU,2018,6640.0
145,GBR,DEU,2019,14600.0
146,GBR,DEU,2020,4930.0
147,GBR,CHL,2000,1.0
148,GBR,CHL,2001,1.0
149,GBR,CHL,2002,1.0
150,GBR,CHL,2003,1.0
151,GBR,CHL,2004,1.0
152,GBR,CHL,2005,1.0
153,GBR,CHL,2006,0.0
154,GBR,CHL,2007,2.0
155,GBR,CHL,2008,0.0
156,GBR,CHL,2009,1.0
157,GBR,CHL,2010,1.0
158,GBR,CHL,2011,4.0
159,GBR,CHL,2012,0.0
160,GBR,CHL,2013,1.0
161,GBR,CHL,2014,1.0
162,GBR,CHL,2015,2.0
163,GBR,CHL,2016,1.0
164,GBR,CHL,2017,3.0
165,GBR,CHL,2018,4.0
166,GBR,CHL,2019,0.0
167,GBR,CHL,2020,3.0
168,GBR,USA,2000,11739.0
169,GBR,USA,2001,8059.0
170,GBR,USA,2002,8194.0
171,GBR,USA,2003,6717.0
172,GBR,USA,2004,7785.0
173,GBR,USA,2005,8087.0
174,GBR,USA,2006,9104.0
175,GBR,USA,2007,7752.0
176,GBR,USA,2008,15127.0
177,GBR,USA,2009,12183.0
178,GBR,USA,2010,10023.0
179,GBR,USA,2011,10945.0
180,GBR,USA,2012,10814.0
181,GBR,USA,2013,11066.0
182,GBR,USA,2014,10333.0
183,GBR,USA,2015,11638.0
184,GBR,USA,2016,11052.0
185,GBR,USA,2017,10485.0
186,GBR,USA,2018,12165.0
187,GBR,USA,2019,13907.0
188,GBR,USA,2020,10126.0
189,GBR,FRA,2000,290.0
190,GBR,FRA,2001,256.0
191,GBR,FRA,2002,256.0
192,GBR,FRA,2003,305.0
193,GBR,FRA,2004,302.5
194,GBR,FRA,2005,300.0
195,GBR,FRA,2006,276.6666666666667
196,GBR,FRA,2007,253.33333333333334
197,GBR,FRA,2008,230.0
198,GBR,FRA,2009,231.0
199,GBR,FRA,2010,205.0
200,GBR,FRA,2011,261.0
201,GBR,FRA,2012,335.0
202,GBR,FRA,2013,354.0
203,GBR,FRA,2014,279.0
204,GBR,FRA,2015,374.0
205,GBR,FRA,2016,517.0
206,GBR,FRA,2017,1733.0
207,GBR,FRA,2018,3268.0
208,GBR,FRA,2019,4088.0
209,GBR,FRA,2020,3146.0
210,GBR,POL,2000,20.0
211,GBR,POL,2001,7.0
212,GBR,POL,2002,20.0
213,GBR,POL,2003,14.0
214,GBR,POL,2004,21.0
215,GBR,POL,2005,18.0
216,GBR,POL,2006,1.0
217,GBR,POL,2007,6.0
218,GBR,POL,2008,2.0
219,GBR,POL,2009,6.0
220,GBR,POL,2010,9.0
221,GBR,POL,2011,7.0
222,GBR,POL,2012,9.0
223,GBR,POL,2013,16.0
224,GBR,POL,2014,7.0
225,GBR,POL,2015,8.0
226,GBR,POL,2016,6.0
227,GBR,POL,2017,7.0
228,GBR,POL,2018,29.0
229,GBR,POL,2019,47.0
230,GBR,POL,2020,40.0
231,GBR,LUX,2000,1.0
232,GBR,LUX,2001,0.0
233,GBR,LUX,2002,1.0
234,GBR,LUX,2003,2.0
235,GBR,LUX,2004,3.0
236,GBR,LUX,2005,1.0
237,GBR,LUX,2006,8.0
238,GBR,LUX,2007,5.0
239,GBR,LUX,2008,0.0
240,GBR,LUX,2009,62.0
241,GBR,LUX,2010,53.0
242,GBR,LUX,2011,44.0
243,GBR,LUX,2012,56.0
244,GBR,LUX,2013,37.0
245,GBR,LUX,2014,66.0
246,GBR,LUX,2015,75.0
247,GBR,LUX,2016,128.0
248,GBR,LUX,2017,384.0
249,GBR,LUX,2018,440.0
250,GBR,LUX,2019,431.0
251,GBR,LUX,2020,291.0
252,GBR,HUN,2000,1.0
253,GBR,HUN,2001,1.0
254,GBR,HUN,2002,1.0
255,GBR,HUN,2003,1.0
256,GBR,HUN,2004,1.0
257,GBR,HUN,2005,1.0
258,GBR,HUN,2006,1.0
259,GBR,HUN,2007,1.0
260,GBR,HUN,2008,1.0
261,GBR,HUN,2009,2.0
262,GBR,HUN,2010,4.0
263,GBR,HUN,2011,6.0
264,GBR,HUN,2012,8.0
265,GBR,HUN,2013,7.0
266,GBR,HUN,2014,4.0
267,GBR,HUN,2015,3.0
268,GBR,HUN,2016,11.0
269,GBR,HUN,2017,14.0
270,GBR,HUN,2018,22.0
271,GBR,HUN,2019,52.0
272,GBR,HUN,2020,35.0
273,GBR,NOR,2000,104.0
274,GBR,NOR,2001,57.0
275,GBR,NOR,2002,83.0
276,GBR,NOR,2003,68.0
277,GBR,NOR,2004,78.0
278,GBR,NOR,2005,92.0
279,GBR,NOR,2006,90.0
280,GBR,NOR,2007,58.0
281,GBR,NOR,2008,41.0
282,GBR,NOR,2009,54.0
283,GBR,NOR,2010,37.0
284,GBR,NOR,2011,51.0
285,GBR,NOR,2012,37.0
286,GBR,NOR,2013,52.0
287,GBR,NOR,2014,62.0
288,GBR,NOR,2015,54.0
289,GBR,NOR,2016,58.0
290,GBR,NOR,2017,71.0
291,GBR,NOR,2018,63.0
292,GBR,NOR,2019,23.0
293,GBR,NOR,2020,230.0
294,GBR,FIN,2000,8.0
295,GBR,FIN,2001,20.0
296,GBR,FIN,2002,5.0
297,GBR,FIN,2003,23.0
298,GBR,FIN,2004,23.0
299,GBR,FIN,2005,33.0
300,GBR,FIN,2006,16.0
301,GBR,FIN,2007,17.0
302,GBR,FIN,2008,28.0
303,GBR,FIN,2009,8.0
304,GBR,FIN,2010,20.0
305,GBR,FIN,2011,16.0
306,GBR,FIN,2012,20.0
307,GBR,FIN,2013,20.0
308,GBR,FIN,2014,13.0
309,GBR,FIN,2015,26.0
310,GBR,FIN,2016,31.0
311,GBR,FIN,2017,147.0
312,GBR,FIN,2018,134.0
313,GBR,FIN,2019,211.0
314,GBR,FIN,2020,126.0
315,GBR,IRL,2000,233.0
316,GBR,IRL,2001,233.0
317,GBR,IRL,2002,233.0
318,GBR,IRL,2003,233.0
319,GBR,IRL,2004,233.0
320,GBR,IRL,2005,233.0
321,GBR,IRL,2006,406.0
322,GBR,IRL,2007,141.0
323,GBR,IRL,2008,72.0
324,GBR,IRL,2009,32.0
